iter	Passed	Remaining
0	2	444
1	3	431
2	5	391
3	6	346
4	8	385
5	10	371
6	11	355
7	12	339
8	14	340
9	17	364
10	18	353
11	19	340
12	21	335
13	22	334
14	24	334
15	26	335
16	27	328
17	28	320
18	30	324
19	32	322
20	35	331
21	36	332
22	38	330
23	39	325
24	41	320
25	42	317
26	43	311
27	45	309
28	46	306
29	47	301
30	48	296
31	50	295
32	51	292
33	54	297
34	55	294
35	56	289
36	57	286
37	59	286
38	61	284
39	62	280
40	63	279
41	65	275
42	66	275
43	68	273
44	70	273
45	71	271
46	72	268
47	73	265
48	75	264
49	77	264
50	78	260
51	80	259
52	81	256
53	83	257
54	85	256
55	87	256
56	89	254
57	91	254
58	92	252
59	93	250
60	94	247
61	96	245
62	97	243
63	99	241
64	100	238
65	101	237
66	103	236
67	105	235
68	107	234
69	108	231
70	109	229
71	110	227
72	111	224
73	112	222
74	113	220
75	115	218
76	116	216
77	117	214
78	119	213
79	121	212
80	124	213
81	126	212
82	128	211
83	129	210
84	131	208
85	132	206
86	134	204
87	135	202
88	137	202
89	138	200
90	140	199
91	142	198
92	144	197
93	146	196
94	147	194
95	148	192
96	150	190
97	151	189
98	153	187
99	155	186
100	156	184
101	157	182
102	159	181
103	160	179
104	162	177
105	164	176
106	165	175
107	167	173
108	167	171
109	169	169
110	170	167
111	172	166
112	173	164
113	175	163
114	177	162
115	179	160
116	180	159
117	182	157
118	184	156
119	185	154
120	187	153
121	188	151
122	189	149
123	191	148
124	192	146
125	194	144
126	196	143
127	197	142
128	199	140
129	201	139
130	203	137
131	204	136
132	205	134
133	206	132
134	208	131
135	209	129
136	211	127
137	212	126
138	213	124
139	215	122
140	216	121
141	217	119
142	218	117
143	220	116
144	221	114
145	223	113
146	224	111
147	225	109
148	227	108
149	229	106
150	231	105
151	232	104
152	234	102
153	236	101
154	238	99
155	239	98
156	240	96
157	241	94
158	244	93
159	245	92
160	247	90
161	248	88
162	250	87
163	252	86
164	254	84
165	256	83
166	257	81
167	259	80
168	260	78
169	262	77
170	264	75
171	266	74
172	267	72
173	269	71
174	270	69
175	272	68
176	273	66
177	275	65
178	277	63
179	279	62
180	280	60
181	282	58
182	283	57
183	285	55
184	286	54
185	291	53
186	292	51
187	295	50
188	296	48
189	297	47
190	299	45
191	301	43
192	302	42
193	303	40
194	305	39
195	306	37
196	308	36
197	310	34
198	312	32
199	315	31
200	316	29
201	318	28
202	319	26
203	321	25
204	322	23
205	324	22
206	326	20
207	328	18
208	329	17
209	332	15
210	334	14
211	335	12
212	337	11
213	338	9
214	340	7
215	341	6
216	343	4
217	345	3
218	346	1
219	348	0
