model,variant,target,fold,train_start,train_end,valid_start,valid_end,MAE,RMSE,R2
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,Revenue,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,565722.9070220584,781231.3405523952,0.771711302927835
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,COGS,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,437300.0577543062,591905.4696386157,0.8120048815238665
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,Revenue,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,542860.6174738349,762416.2225210139,0.7843625219572781
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,COGS,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,472241.81346802844,666610.7761383036,0.7838916390560324
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,Revenue,F2022,2012-07-04,2021-12-31,2022-01-01,2022-12-31,561646.0057517691,761760.0767986291,0.7928789944495409
calendar_blend_valid_scaled,seasonal6_week25_trend0_scaled,COGS,F2022,2012-07-04,2021-12-31,2022-01-01,2022-12-31,495949.86936614563,663948.0914407243,0.7927878302331282
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,Revenue,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,543780.6818302351,746938.709412666,0.7913131766190377
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,COGS,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,428633.4899461069,577572.261926878,0.8209993854825852
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,Revenue,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,532604.6960309749,745351.3500147994,0.7939075549426284
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,COGS,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,466021.7740339996,659032.3042742962,0.7887774331624693
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,Revenue,F2022,2012-07-04,2021-12-31,2022-01-01,2022-12-31,551444.4950815325,745879.4394252625,0.8014248032338172
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha15,COGS,F2022,2012-07-04,2021-12-31,2022-01-01,2022-12-31,486325.7471114909,651423.5207162353,0.8005317049648641
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha25,Revenue,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,529724.2594585096,726248.7373770489,0.8027141782455561
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha25,COGS,F2020,2012-07-04,2019-12-31,2020-01-01,2020-12-31,423397.2204678941,569102.2429233647,0.8262109294646683
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha25,Revenue,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,526267.5292569759,735040.7005282573,0.7995699837446489
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha25,COGS,F2021,2012-07-04,2020-12-31,2021-01-01,2021-12-31,462464.1958256275,654539.571470539,0.7916474955778936
