model,variant,guardrail_avg_MAE_sum,guardrail_worst_MAE_sum,guardrail_avg_RMSE_sum,guardrail_avg_R2_mean,guardrail_rank
residual_meta_lgbm,lgbm_base_all_cal_sh100_cal2022,722323.7754176807,758861.8461899975,1096318.2925957744,0.8721293344168931,1
residual_meta_lgbm,lgbm_base5_cal_sh100_cal2022,737885.6852158181,773342.4602319818,1101104.9981199114,0.8710878388513349,2
residual_meta_catboost,catboost_base_all_cal_sh100_cal2022,754691.963821363,801813.6673357574,1089470.5957611229,0.8740432005521233,3
residual_meta_catboost,catboost_base5_cal_sh100_cal2022,758351.1873491826,807245.8155621518,1089346.4509035244,0.8741150474236447,4
residual_meta_lgbm,lgbm_base_all_cal_sh075_cal2022,793479.5897952649,831767.8276019711,1162729.5076435923,0.8563205110380944,5
residual_meta_lgbm,lgbm_base5_cal_sh075_cal2022,802334.6097900526,838276.3655861258,1165337.2649269719,0.8557307866470832,6
residual_meta_catboost,catboost_base_all_cal_sh075_cal2022,815426.963546256,861654.1158881834,1157875.2487807479,0.8577751714043093,7
residual_meta_catboost,catboost_base5_cal_sh075_cal2022,818164.9199835979,866045.6672041831,1158774.1520632205,0.8575992801627708,8
residual_meta_lgbm,lgbm_base_all_cal_sh050_cal2022,884129.6951178185,923742.7923916786,1253296.1768855068,0.8332235185210041,9
residual_meta_lgbm,lgbm_base5_cal_sh050_cal2022,888502.5887489679,926089.5316864814,1254442.2674204472,0.8329579671157683,10
residual_meta_catboost,catboost_base5_sh100_cal2022,894508.2331440306,931068.6226003496,1270322.2485118813,0.8291816990726001,11
residual_meta_catboost,catboost_base_all_cal_sh050_cal2022,897711.4094601035,942337.7116876557,1250166.1197353832,0.8342061326083421,12
residual_meta_catboost,catboost_base5_cal_sh050_cal2022,900028.3589064929,946205.0582375285,1251332.8480232714,0.8339356875171967,13
residual_meta_catboost,catboost_base5_sh075_cal2022,927378.8866236171,966205.0023845225,1299762.0399967416,0.8211038936754962,14
residual_meta_lgbm,lgbm_base_all_cal_sh035_cal2022,944048.6812404115,985288.4232790095,1317028.6604606982,0.8158670018243699,15
residual_meta_lgbm,lgbm_base5_cal_sh035_cal2022,946482.0498271864,986798.0314853395,1317608.0207558277,0.8157347070799889,16
residual_meta_catboost,catboost_base_all_cal_sh035_cal2022,953511.3765997203,997854.4175722013,1314857.714626601,0.8165602246996483,17
residual_meta_catboost,catboost_base5_cal_sh035_cal2022,955105.9501447784,1000726.2046668996,1315879.0784765042,0.8163065757451964,18
ensemble_v3_catboost,v3w70_catboost_base_all_cal_sh075,955723.4337821756,990606.7617574141,1321659.054978044,0.8149266370428974,19
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha50,960599.5788891191,999228.9702809951,1312275.6670239856,0.8171375341542687,20
residual_meta_catboost,catboost_base5_sh050_cal2022,973258.5403753031,1014036.0555069612,1346954.1431547503,0.8077418463763529,21
calendar_blend_month_scaled,seasonal6_week25_trend0_month_alpha35,976470.5210276396,1014209.7017306597,1336425.1252425257,0.810504878719429,22
ensemble_v3_catboost,v3w80_catboost_base_all_cal_sh075,978609.1599830951,1012583.2600206269,1349894.2240876562,0.8069502753324574,23
ensemble_v3_catboost,v3w70_catboost_base_all_cal_sh050,979913.1449388686,1013734.9677511407,1350235.4707435071,0.8068319814880512,24
residual_meta_lgbm,lgbm_base_all_cal_sh025_cal2022,985691.7786354367,1028087.7078007688,1362782.0529434502,0.8028383568656219,25
