Date,model,variant,Revenue_actual,COGS_actual,Revenue_pred,COGS_pred,Revenue_error,Revenue_abs_error,COGS_error,COGS_abs_error
2022-01-01,seasonal_profile,seasonal6_trend0,2932155.47,3019583.5,2171018.0974668893,2161566.627647873,-761137.3725331109,761137.3725331109,-858016.872352127,858016.872352127
2022-01-02,seasonal_profile,seasonal6_trend0,2361965.0,2368851.11,956444.1478681719,836202.1045616135,-1405520.8521318282,1405520.8521318282,-1532649.0054383865,1532649.0054383865
2022-01-03,seasonal_profile,seasonal6_trend0,545563.72,476501.31,922011.147684912,778323.6726814244,376447.427684912,376447.427684912,301822.3626814244,301822.3626814244
2022-01-04,seasonal_profile,seasonal6_trend0,1242319.38,1057834.07,879461.7029635409,714913.5082999768,-362857.677036459,362857.677036459,-342920.56170002325,342920.56170002325
2022-01-05,seasonal_profile,seasonal6_trend0,809977.6,684605.3,1080806.1794807122,892272.8272626884,270828.5794807122,270828.5794807122,207667.52726268838,207667.52726268838
2022-01-06,seasonal_profile,seasonal6_trend0,993048.62,827696.4,1176450.4034828944,980904.1945701754,183401.78348289442,183401.78348289442,153207.79457017535,153207.79457017535
2022-01-07,seasonal_profile,seasonal6_trend0,1294963.64,1109631.82,1103512.8688919966,931609.1600525684,-191450.77110800333,191450.77110800333,-178022.65994743165,178022.65994743165
2022-01-08,seasonal_profile,seasonal6_trend0,1641747.05,1369252.03,1345532.879104125,1127684.107847755,-296214.17089587497,296214.17089587497,-241567.92215224495,241567.92215224495
2022-01-09,seasonal_profile,seasonal6_trend0,1706485.37,1491356.56,1420873.2580596127,1202262.7910800425,-285612.1119403874,285612.1119403874,-289093.76891995757,289093.76891995757
2022-01-10,seasonal_profile,seasonal6_trend0,2569113.21,2158709.88,1407774.9040161727,1169372.5044239059,-1161338.3059838272,1161338.3059838272,-989337.375576094,989337.375576094
2022-01-11,seasonal_profile,seasonal6_trend0,1640806.35,1336967.26,1519198.135509133,1265545.5987785496,-121608.21449086699,121608.21449086699,-71421.66122145043,71421.66122145043
2022-01-12,seasonal_profile,seasonal6_trend0,1775526.5,1506945.6,1454549.975822084,1216325.0557306355,-320976.5241779161,320976.5241779161,-290620.54426936456,290620.54426936456
2022-01-13,seasonal_profile,seasonal6_trend0,1173172.99,946254.56,1724808.6380360434,1457305.6059807541,551635.6480360434,551635.6480360434,511051.0459807541,511051.0459807541
2022-01-14,seasonal_profile,seasonal6_trend0,1548726.82,1300219.1,1359357.289969065,1136820.2683666588,-189369.53003093507,189369.53003093507,-163398.83163334127,163398.83163334127
2022-01-15,seasonal_profile,seasonal6_trend0,1461990.71,1263054.33,1427211.7853782594,1201290.3706929733,-34778.92462174059,34778.92462174059,-61763.95930702682,61763.95930702682
2022-01-16,seasonal_profile,seasonal6_trend0,2064339.13,1781850.02,1655577.0262375898,1376403.9393846265,-408762.1037624101,408762.1037624101,-405446.08061537356,405446.08061537356
2022-01-17,seasonal_profile,seasonal6_trend0,1621773.2,1340632.16,1767566.6219553833,1481268.160261562,145793.42195538338,145793.42195538338,140636.00026156218,140636.00026156218
2022-01-18,seasonal_profile,seasonal6_trend0,1861205.18,1606509.55,1667364.8810766526,1369728.180752871,-193840.29892334738,193840.29892334738,-236781.36924712895,236781.36924712895
2022-01-19,seasonal_profile,seasonal6_trend0,2020862.53,1738187.82,1527281.280297188,1282846.1257459882,-493581.24970281194,493581.24970281194,-455341.69425401185,455341.69425401185
2022-01-20,seasonal_profile,seasonal6_trend0,1249233.56,1043117.49,1762982.0493539788,1458017.2390834715,513748.4893539788,513748.4893539788,414899.7490834715,414899.7490834715
2022-01-21,seasonal_profile,seasonal6_trend0,1580948.85,1245282.02,1673116.6514208943,1384110.21368007,92167.80142089422,92167.80142089422,138828.19368006987,138828.19368006987
2022-01-22,seasonal_profile,seasonal6_trend0,1758593.8,1468639.94,1652159.8406732995,1405915.3313951837,-106433.95932670054,106433.95932670054,-62724.608604816254,62724.608604816254
2022-01-23,seasonal_profile,seasonal6_trend0,1785338.17,1512426.38,1815846.2715719289,1512438.2927370162,30508.101571928943,30508.101571928943,11.912737016333267,11.912737016333267
2022-01-24,seasonal_profile,seasonal6_trend0,1915906.28,1601822.71,1937351.1590670843,1633705.9409852445,21444.879067084286,21444.879067084286,31883.230985244503,31883.230985244503
2022-01-25,seasonal_profile,seasonal6_trend0,2471179.3,1957064.07,1842223.404060009,1553438.3222903123,-628955.8959399909,628955.8959399909,-403625.7477096878,403625.7477096878
2022-01-26,seasonal_profile,seasonal6_trend0,2278973.82,1903209.07,2229639.598744363,1850396.4657502233,-49334.221255636774,49334.221255636774,-52812.60424977681,52812.60424977681
2022-01-27,seasonal_profile,seasonal6_trend0,1604489.99,1290075.13,2640010.549378667,2190380.671452791,1035520.559378667,1035520.559378667,900305.5414527911,900305.5414527911
