Date,model,variant,Revenue_actual,COGS_actual,Revenue_pred,COGS_pred,Revenue_error,Revenue_abs_error,COGS_error,COGS_abs_error
2022-01-01,residual_meta_lgbm,lgbm_base_all_cal_cal2022,2932155.47,3019583.5,2372110.364268613,2430944.1307317954,-560045.1057313872,560045.1057313872,-588639.3692682046,588639.3692682046
2022-01-02,residual_meta_lgbm,lgbm_base_all_cal_cal2022,2361965.0,2368851.11,1412644.3064790522,1286093.330640305,-949320.6935209478,949320.6935209478,-1082757.7793596948,1082757.7793596948
2022-01-03,residual_meta_lgbm,lgbm_base_all_cal_cal2022,545563.72,476501.31,1209484.4269811257,1056344.5005328327,663920.7069811258,663920.7069811258,579843.1905328326,579843.1905328326
2022-01-04,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1242319.38,1057834.07,1227207.14629227,957016.517221335,-15112.23370772996,15112.23370772996,-100817.5527786651,100817.5527786651
2022-01-05,residual_meta_lgbm,lgbm_base_all_cal_cal2022,809977.6,684605.3,1242368.2585000484,991258.1799619589,432390.65850004845,432390.65850004845,306652.87996195885,306652.87996195885
2022-01-06,residual_meta_lgbm,lgbm_base_all_cal_cal2022,993048.62,827696.4,1123194.2149087202,826705.6802169108,130145.59490872023,130145.59490872023,-990.7197830892401,990.7197830892401
2022-01-07,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1294963.64,1109631.82,1196501.6425422067,932832.5552654202,-98461.99745779322,98461.99745779322,-176799.26473457983,176799.26473457983
2022-01-08,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1641747.05,1369252.03,1549214.3704347834,1294952.0114841063,-92532.67956521665,92532.67956521665,-74300.01851589372,74300.01851589372
2022-01-09,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1706485.37,1491356.56,1701626.204601766,1498639.6104884595,-4859.165398234036,4859.165398234036,7283.050488459412,7283.050488459412
2022-01-10,residual_meta_lgbm,lgbm_base_all_cal_cal2022,2569113.21,2158709.88,1771262.2977431687,1496151.466872602,-797850.9122568313,797850.9122568313,-662558.4131273979,662558.4131273979
2022-01-11,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1640806.35,1336967.26,1857670.0474915039,1571529.757744927,216863.6974915038,216863.6974915038,234562.49774492695,234562.49774492695
2022-01-12,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1775526.5,1506945.6,1770316.4386571415,1495662.8562307989,-5210.061342858477,5210.061342858477,-11282.743769201217,11282.743769201217
2022-01-13,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1173172.99,946254.56,1566120.4551932327,1289353.9164393796,392947.46519323275,392947.46519323275,343099.3564393795,343099.3564393795
2022-01-14,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1548726.82,1300219.1,1509859.2674416169,1273171.75888281,-38867.552558383206,38867.552558383206,-27047.341117190197,27047.341117190197
2022-01-15,residual_meta_lgbm,lgbm_base_all_cal_cal2022,1461990.71,1263054.33,1666526.7646043054,1417182.8401686081,204536.05460430542,204536.05460430542,154128.51016860805,154128.51016860805
2022-01-16,residual_meta_lgbm,lgbm_base_all_cal_cal2022,2064339.13,1781850.02,1951413.6429145574,1757128.0382512575,-112925.48708544252,112925.48708544252,-24721.981748742517,24721.981748742517
